,NFLOOR,YRCON,WKHRS,NWKER,HEATP,COOLP,PCTERMN,LAPTPN,PRNTRN,COPIERN,LTOHRP,LTNHRP,DAYLTP,OPEN24,OPNWE,PBAPLUS,RENRFF,RENINS,CENDIV,PBA,FREESTN,RFTILT,WLCNS,BLDSHP,BLDSHP,YRCONC,RENHVC,RENWIN,RENLGT,RENELC,RENINS,RENSTR
159,1,1982,70,87,65.0,70.0,34.0,17.0,19.0,7.0,58.0,10.0,19.0,2,1,50,1.0,2.0,5,23,1.0,2,3,3.0,3.0,6,2.0,2.0,2.0,2.0,2.0,2.0
162,1,995,42,2,100.0,90.0,2.0,2.0,2.0,1.0,90.0,0.0,0.0,2,1,21,1.0,2.0,9,12,1.0,3,1,2.0,2.0,2,1.0,1.0,1.0,1.0,2.0,2.0
163,1,1965,30,11,100.0,100.0,15.0,1.0,2.0,1.0,50.0,0.0,100.0,2,2,28,2.0,2.0,9,14,1.0,1,4,2.0,2.0,4,2.0,2.0,2.0,2.0,2.0,2.0
164,4,1989,40,550,100.0,100.0,550.0,400.0,25.0,8.0,100.0,0.0,30.0,2,1,2,2.0,2.0,9,2,1.0,1,1,2.0,2.0,6,1.0,2.0,1.0,1.0,2.0,2.0
165,4,1971,84,50,100.0,100.0,21.0,20.0,10.0,6.0,50.0,5.0,5.0,2,1,25,1.0,1.0,8,13,1.0,1,1,1.0,1.0,5,1.0,2.0,1.0,1.0,1.0,1.0
166,1,1980,40,6,100.0,100.0,5.0,3.0,4.0,6.0,80.0,0.0,0.0,2,2,6,2.0,2.0,7,2,1.0,2,1,2.0,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0
167,994,1962,63,1500,100.0,85.0,1000.0,100.0,150.0,35.0,100.0,15.0,65.0,2,1,3,2.0,2.0,3,2,1.0,1,6,2.0,2.0,4,1.0,1.0,1.0,1.0,2.0,2.0
170,1,2000,110,10,100.0,80.0,3.0,0.0,3.0,1.0,100.0,20.0,0.0,2,1,14,2.0,2.0,7,6,1.0,2,5,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
174,4,1989,50,275,100.0,100.0,400.0,25.0,100.0,7.0,100.0,25.0,25.0,2,2,2,2.0,2.0,2,2,1.0,1,2,1.0,1.0,6,2.0,2.0,2.0,2.0,2.0,2.0
177,1,1975,55,6,100.0,100.0,12.0,2.0,5.0,1.0,100.0,20.0,0.0,2,1,3,2.0,2.0,2,2,1.0,2,1,2.0,2.0,5,2.0,2.0,2.0,2.0,2.0,2.0
180,2,2005,40,60,100.0,24.0,44.0,5.0,10.0,3.0,100.0,0.0,85.0,2,2,10,2.0,2.0,1,5,1.0,2,5,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
181,2,1955,48,30,100.0,100.0,56.0,0.0,30.0,4.0,100.0,0.0,0.0,2,2,28,2.0,2.0,9,14,1.0,1,1,9.0,9.0,3,2.0,2.0,2.0,2.0,2.0,2.0
182,1,2002,50,7,90.0,90.0,9.0,1.0,3.0,1.0,75.0,0.0,0.0,2,2,8,2.0,2.0,5,4,1.0,1,3,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
186,4,1965,60,115,100.0,80.0,300.0,8.0,22.0,3.0,80.0,10.0,0.0,2,1,29,1.0,2.0,3,14,1.0,1,1,4.0,4.0,4,2.0,1.0,1.0,1.0,2.0,2.0
195,3,1979,50,700,100.0,100.0,400.0,0.0,500.0,4.0,100.0,5.0,10.0,2,2,27,2.0,2.0,5,14,1.0,1,2,2.0,2.0,5,1.0,1.0,1.0,2.0,2.0,2.0
196,1,1960,41,5,33.0,33.0,4.0,0.0,4.0,1.0,30.0,0.0,0.0,2,2,10,2.0,2.0,5,5,1.0,2,5,2.0,2.0,4,2.0,2.0,2.0,2.0,2.0,2.0
198,6,1989,54,200,100.0,85.0,200.0,50.0,200.0,20.0,100.0,15.0,50.0,2,1,6,2.0,2.0,5,2,1.0,1,1,11.0,11.0,6,2.0,2.0,2.0,2.0,2.0,2.0
201,6,1961,168,400,100.0,100.0,150.0,10.0,20.0,20.0,100.0,60.0,0.0,1,1,35,2.0,2.0,9,16,1.0,1,3,4.0,4.0,4,2.0,2.0,2.0,2.0,2.0,2.0
205,1,2004,50,83,100.0,100.0,346.0,0.0,60.0,2.0,100.0,100.0,0.0,2,2,28,2.0,2.0,7,14,1.0,2,1,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
208,995,1978,168,1200,100.0,100.0,300.0,20.0,150.0,20.0,100.0,50.0,30.0,1,1,38,1.0,2.0,8,18,1.0,1,3,2.0,2.0,5,1.0,1.0,1.0,1.0,2.0,2.0
209,2,1997,60,169,100.0,100.0,335.0,694.0,50.0,10.0,100.0,20.0,5.0,2,1,28,2.0,2.0,5,14,1.0,3,1,11.0,11.0,7,2.0,2.0,2.0,2.0,2.0,2.0
210,1,1960,80,8,100.0,100.0,2.0,5.0,2.0,1.0,100.0,0.0,0.0,2,1,33,2.0,2.0,3,15,1.0,2,1,2.0,2.0,4,2.0,2.0,2.0,2.0,2.0,2.0
211,2,2000,70,30,100.0,100.0,30.0,25.0,5.0,1.0,100.0,5.0,10.0,2,1,29,2.0,2.0,7,14,1.0,2,5,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
213,2,1994,45,26,100.0,25.0,7.0,5.0,5.0,1.0,100.0,10.0,25.0,2,2,45,2.0,2.0,4,26,1.0,1,5,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
214,1,1997,84,50,80.0,80.0,30.0,2.0,20.0,2.0,100.0,20.0,0.0,2,1,42,2.0,2.0,9,25,1.0,2,1,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
215,2,1968,40,20,30.0,30.0,20.0,0.0,10.0,4.0,30.0,5.0,70.0,2,2,2,2.0,2.0,5,2,1.0,1,1,2.0,2.0,4,2.0,2.0,2.0,2.0,2.0,2.0
218,1,2000,20,20,100.0,100.0,4.0,5.0,4.0,1.0,100.0,0.0,40.0,2,1,21,2.0,2.0,8,12,1.0,3,1,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
219,1,1980,40,200,100.0,100.0,80.0,6.0,15.0,6.0,100.0,0.0,50.0,2,2,9,1.0,1.0,7,5,1.0,2,3,3.0,3.0,6,1.0,2.0,1.0,2.0,1.0,2.0
220,2,2002,50,30,75.0,75.0,90.0,2.0,5.0,2.0,80.0,0.0,0.0,2,2,29,2.0,2.0,9,14,1.0,2,4,2.0,2.0,8,1.0,2.0,1.0,2.0,2.0,2.0
227,995,2001,60,1500,95.0,95.0,1800.0,500.0,300.0,19.0,98.0,2.0,0.0,2,2,2,2.0,2.0,9,2,1.0,1,2,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
228,1,2001,60,48,100.0,100.0,30.0,0.0,12.0,3.0,60.0,10.0,40.0,2,2,18,2.0,2.0,2,8,1.0,1,3,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
230,2,995,110,26,60.0,40.0,7.0,0.0,7.0,1.0,80.0,0.0,0.0,2,1,49,2.0,2.0,2,91,1.0,3,3,8.0,8.0,2,1.0,2.0,1.0,2.0,2.0,2.0
231,2,2000,37,6,100.0,100.0,5.0,2.0,4.0,2.0,100.0,0.0,0.0,2,1,21,2.0,2.0,8,12,1.0,3,1,1.0,1.0,8,2.0,2.0,2.0,2.0,2.0,2.0
235,1,995,35,2,100.0,100.0,2.0,1.0,2.0,1.0,50.0,10.0,10.0,2,1,21,2.0,2.0,3,12,1.0,3,1,2.0,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0
237,1,1988,113,78,100.0,100.0,20.0,4.0,7.0,3.0,94.0,8.0,6.0,2,1,50,2.0,2.0,9,23,1.0,2,1,2.0,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0
241,6,1984,168,650,100.0,100.0,700.0,600.0,400.0,40.0,100.0,25.0,20.0,1,1,3,2.0,2.0,7,2,1.0,1,1,11.0,11.0,6,2.0,1.0,1.0,2.0,2.0,2.0
242,1,1992,38,2,100.0,100.0,1.0,0.0,1.0,1.0,65.0,5.0,5.0,2,1,44,2.0,2.0,3,26,1.0,3,1,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
