,NFLOOR,YRCON,WKHRS,NWKER,HEATP,COOLP,PCTERMN,LAPTPN,PRNTRN,COPIERN,LTOHRP,LTNHRP,DAYLTP,OPEN24,OPNWE,PBAPLUS,RENRFF,RENINS,CENDIV,PBA,FREESTN,RFTILT,WLCNS,BLDSHP,BLDSHP,YRCONC,RENHVC,RENWIN,RENLGT,RENELC,RENINS,RENSTR
3037,4,995,168,10,100.0,10.0,35.0,5.0,10.0,1.0,20.0,1.0,20.0,1,1,40,1.0,2.0,4,18,1.0,3,3,4.0,4.0,2,1.0,1.0,1.0,2.0,2.0,2.0
3039,2,1970,168,100,100.0,100.0,70.0,5.0,5.0,5.0,100.0,25.0,25.0,1,1,2,1.0,2.0,3,2,1.0,1,3,2.0,2.0,5,1.0,2.0,2.0,2.0,2.0,2.0
3041,4,1997,168,50,100.0,100.0,100.0,50.0,30.0,12.0,100.0,0.0,0.0,1,1,23,2.0,2.0,7,13,1.0,1,1,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
3045,2,1966,84,22,100.0,100.0,15.0,20.0,24.0,2.0,75.0,25.0,60.0,2,1,21,1.0,2.0,2,12,1.0,1,1,2.0,2.0,4,2.0,1.0,1.0,2.0,2.0,2.0
3046,6,1963,45,50,80.0,80.0,92.0,40.0,15.0,2.0,90.0,5.0,40.0,2,1,6,2.0,2.0,8,2,1.0,1,6,2.0,2.0,4,1.0,1.0,1.0,2.0,2.0,2.0
3050,1,2004,50,52,100.0,75.0,0.0,15.0,16.0,5.0,100.0,0.0,0.0,2,2,2,2.0,2.0,5,2,1.0,2,1,2.0,2.0,9,1.0,2.0,2.0,1.0,2.0,2.0
3053,994,1960,168,4000,100.0,100.0,3595.0,493.0,561.0,5.0,100.0,33.0,5.0,1,1,35,1.0,2.0,3,16,1.0,1,6,3.0,3.0,4,1.0,2.0,1.0,1.0,2.0,2.0
3055,3,2001,65,60,100.0,100.0,50.0,15.0,20.0,30.0,100.0,50.0,50.0,2,1,2,2.0,2.0,9,2,1.0,1,6,4.0,4.0,8,2.0,2.0,2.0,2.0,2.0,2.0
3057,1,1982,50,16,100.0,100.0,15.0,0.0,15.0,4.0,100.0,1.0,0.0,2,2,6,2.0,2.0,7,2,1.0,1,3,2.0,2.0,6,1.0,2.0,2.0,2.0,2.0,2.0
3060,2,1997,168,2,100.0,100.0,12.0,48.0,6.0,1.0,75.0,20.0,100.0,1,1,37,2.0,2.0,6,18,1.0,3,1,5.0,5.0,7,2.0,2.0,2.0,2.0,2.0,2.0
3067,3,1952,105,18,73.0,73.0,4.0,0.0,3.0,1.0,100.0,25.0,30.0,2,1,33,2.0,2.0,6,15,1.0,3,3,8.0,8.0,3,2.0,2.0,2.0,2.0,2.0,2.0
3068,2,1986,50,52,100.0,100.0,20.0,15.0,15.0,2.0,80.0,5.0,30.0,2,2,3,2.0,2.0,6,2,1.0,3,1,2.0,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0
3071,1,1951,40,60,100.0,100.0,120.0,2.0,15.0,4.0,90.0,0.0,0.0,2,2,28,1.0,2.0,7,14,1.0,1,1,11.0,11.0,3,1.0,2.0,1.0,1.0,2.0,2.0
3072,9,2007,168,3000,100.0,90.0,499.0,0.0,100.0,50.0,25.0,25.0,35.0,1,1,35,2.0,2.0,2,16,1.0,1,1,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
3074,1,1974,70,67,90.0,100.0,30.0,12.0,19.0,2.0,91.0,16.0,8.0,2,1,50,2.0,2.0,2,23,1.0,1,3,2.0,2.0,5,2.0,2.0,2.0,2.0,2.0,2.0
3079,2,2002,168,6500,100.0,80.0,3595.0,600.0,5000.0,100.0,100.0,80.0,0.0,1,1,26,2.0,2.0,3,13,1.0,2,6,3.0,3.0,8,2.0,2.0,2.0,2.0,2.0,2.0
3080,1,2002,40,6,75.0,25.0,12.0,3.0,4.0,1.0,25.0,1.0,0.0,2,2,10,2.0,2.0,1,5,1.0,2,1,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
3081,4,1977,114,70,100.0,80.0,50.0,7.0,10.0,6.0,100.0,0.0,0.0,2,1,24,2.0,2.0,2,13,1.0,3,3,3.0,3.0,5,2.0,2.0,2.0,2.0,2.0,2.0
3082,1,1997,45,5,100.0,37.0,7.0,1.0,2.0,1.0,100.0,0.0,30.0,2,2,49,2.0,2.0,4,91,1.0,2,5,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
3084,1,1968,60,3,50.0,50.0,7.0,0.0,3.0,1.0,50.0,15.0,0.0,2,2,7,1.0,2.0,1,2,1.0,1,1,2.0,2.0,4,1.0,2.0,2.0,2.0,2.0,2.0
3085,1,1984,70,140,100.0,100.0,71.0,27.0,38.0,8.0,78.0,9.0,18.0,2,1,50,2.0,2.0,5,23,1.0,2,1,3.0,3.0,6,2.0,2.0,2.0,2.0,2.0,2.0
3086,2,2007,88,20,100.0,100.0,6.0,0.0,3.0,2.0,100.0,2.0,40.0,2,1,24,2.0,2.0,4,13,1.0,1,1,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
3088,1,1983,45,100,95.0,95.0,150.0,50.0,35.0,1.0,75.0,10.0,5.0,2,2,2,1.0,1.0,5,2,1.0,1,5,9.0,9.0,6,1.0,2.0,1.0,1.0,1.0,2.0
3091,2,1965,50,30,100.0,95.0,12.0,2.0,5.0,3.0,95.0,1.0,15.0,2,1,19,2.0,1.0,2,8,1.0,1,3,1.0,1.0,4,1.0,2.0,1.0,1.0,1.0,2.0
3093,1,1995,80,58,96.0,100.0,22.0,5.0,13.0,1.0,98.0,39.0,11.0,2,1,50,2.0,2.0,5,23,1.0,1,2,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
3095,1,1985,50,7,100.0,66.0,6.0,4.0,1.0,1.0,100.0,0.0,0.0,2,2,7,2.0,2.0,4,2,1.0,2,5,2.0,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0
3096,2,1999,70,26,100.0,100.0,17.0,10.0,11.0,2.0,93.0,13.0,12.0,2,1,50,2.0,2.0,3,23,1.0,1,1,3.0,3.0,7,2.0,2.0,1.0,2.0,2.0,2.0
3097,7,1968,168,800,100.0,100.0,1000.0,200.0,225.0,78.0,100.0,50.0,0.0,1,1,35,2.0,2.0,2,16,1.0,1,1,2.0,2.0,4,2.0,2.0,2.0,1.0,2.0,2.0
3098,1,1987,112,80,100.0,95.0,15.0,0.0,5.0,3.0,100.0,25.0,5.0,2,1,14,2.0,2.0,9,6,1.0,1,3,2.0,2.0,6,1.0,2.0,1.0,1.0,2.0,2.0
3101,1,1950,168,83,100.0,100.0,50.0,10.0,25.0,4.0,90.0,85.0,10.0,1,1,35,2.0,2.0,9,16,1.0,2,4,11.0,11.0,3,1.0,1.0,1.0,1.0,2.0,2.0
3102,3,2003,100,70,100.0,100.0,44.0,15.0,12.0,2.0,95.0,40.0,20.0,2,1,24,2.0,2.0,3,13,1.0,2,1,2.0,2.0,8,1.0,2.0,1.0,2.0,2.0,2.0
3105,1,2001,112,71,81.0,100.0,9.0,2.0,6.0,3.0,99.0,38.0,1.0,2,1,50,2.0,2.0,7,23,1.0,1,3,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
3106,1,1985,49,11,100.0,100.0,12.0,2.0,1.0,1.0,100.0,0.0,20.0,2,1,22,2.0,2.0,9,13,1.0,1,3,3.0,3.0,6,2.0,2.0,2.0,2.0,2.0,2.0
3114,1,1996,168,5,100.0,20.0,1.0,0.0,1.0,1.0,100.0,20.0,10.0,1,1,2,2.0,2.0,3,2,1.0,2,5,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
3117,1,1991,80,28,75.0,75.0,13.0,6.0,12.0,2.0,76.0,13.0,20.0,2,1,50,2.0,2.0,9,23,1.0,1,1,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
3119,1,2003,127,300,100.0,5.0,200.0,15.0,100.0,1.0,100.0,10.0,4.0,2,1,9,2.0,2.0,2,5,1.0,2,2,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
3120,2,2001,50,30,100.0,100.0,70.0,5.0,5.0,3.0,100.0,20.0,0.0,2,1,2,2.0,2.0,5,2,1.0,1,1,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
3126,10,995,168,2000,100.0,90.0,2000.0,200.0,600.0,150.0,90.0,5.0,70.0,1,1,4,2.0,2.0,5,2,1.0,2,1,4.0,4.0,2,2.0,2.0,2.0,2.0,2.0,2.0
3128,2,1952,168,30,100.0,100.0,4.0,3.0,15.0,5.0,100.0,10.0,0.0,1,1,29,2.0,2.0,9,14,1.0,3,1,9.0,9.0,3,2.0,2.0,1.0,1.0,2.0,2.0
3129,3,1976,168,500,100.0,100.0,1000.0,500.0,200.0,25.0,90.0,50.0,0.0,1,1,35,1.0,1.0,2,16,1.0,1,1,11.0,11.0,5,1.0,2.0,1.0,1.0,1.0,2.0
3130,5,995,55,125,100.0,59.0,60.0,120.0,50.0,10.0,80.0,3.0,80.0,2,2,29,1.0,2.0,2,14,1.0,1,1,6.0,6.0,1,2.0,1.0,2.0,2.0,2.0,2.0
3131,1,2006,40,12,90.0,90.0,8.0,6.0,2.0,3.0,100.0,0.0,0.0,2,2,4,2.0,2.0,6,2,1.0,2,1,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
3135,2,2001,50,60,100.0,100.0,280.0,6.0,10.0,1.0,90.0,50.0,10.0,2,2,28,2.0,2.0,3,14,1.0,2,1,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
3136,2,1966,44,2,100.0,100.0,0.0,1.0,1.0,1.0,100.0,10.0,20.0,2,1,42,2.0,2.0,2,25,1.0,2,1,3.0,3.0,4,2.0,2.0,2.0,2.0,2.0,2.0
3138,1,2006,45,1,100.0,23.0,3.0,3.0,1.0,1.0,70.0,10.0,50.0,2,2,2,2.0,1.0,6,2,1.0,2,5,2.0,2.0,9,1.0,2.0,1.0,1.0,1.0,2.0
3139,1,1987,70,65,93.0,100.0,39.0,22.0,24.0,6.0,92.0,30.0,13.0,2,1,50,1.0,2.0,5,23,1.0,1,3,6.0,6.0,6,1.0,2.0,1.0,1.0,2.0,2.0
3142,3,1954,60,75,100.0,60.0,35.0,12.0,10.0,2.0,80.0,0.0,0.0,2,1,10,2.0,2.0,2,5,1.0,1,1,2.0,2.0,3,1.0,2.0,1.0,2.0,2.0,2.0
3144,1,1985,45,12,100.0,100.0,7.0,2.0,4.0,1.0,100.0,0.0,20.0,2,2,2,2.0,2.0,5,2,1.0,3,1,2.0,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0
3146,3,2006,40,65,95.0,85.0,80.0,20.0,8.0,4.0,90.0,10.0,0.0,2,2,6,2.0,2.0,5,2,1.0,1,3,1.0,1.0,9,2.0,2.0,2.0,2.0,2.0,2.0
3147,1,1987,40,20,100.0,100.0,20.0,15.0,12.0,5.0,76.0,5.0,25.0,2,2,2,2.0,2.0,9,2,1.0,3,2,11.0,11.0,6,2.0,2.0,2.0,2.0,2.0,2.0
3149,1,1956,70,276,100.0,80.0,175.0,60.0,80.0,14.0,91.0,13.0,12.0,2,1,50,1.0,2.0,2,23,1.0,1,3,2.0,2.0,3,1.0,1.0,1.0,1.0,2.0,2.0
3150,2,1989,50,60,100.0,100.0,25.0,15.0,8.0,3.0,100.0,20.0,0.0,2,1,19,2.0,2.0,5,8,1.0,1,1,4.0,4.0,6,2.0,2.0,2.0,2.0,2.0,2.0
3152,2,1946,48,0,90.0,90.0,1.0,0.0,1.0,1.0,50.0,5.0,0.0,2,1,25,2.0,2.0,3,13,1.0,1,1,2.0,2.0,3,2.0,2.0,2.0,2.0,2.0,2.0
3153,1,1998,50,100,100.0,90.0,70.0,20.0,4.0,3.0,90.0,0.0,25.0,2,2,19,1.0,2.0,2,8,1.0,1,5,9.0,9.0,7,1.0,1.0,1.0,1.0,2.0,2.0
3156,2,1970,80,20,100.0,100.0,40.0,6.0,10.0,2.0,75.0,0.0,0.0,2,1,2,2.0,2.0,4,2,1.0,1,1,2.0,2.0,5,2.0,2.0,2.0,2.0,2.0,2.0
3157,4,1969,168,375,100.0,100.0,400.0,100.0,50.0,10.0,100.0,90.0,0.0,1,1,2,2.0,2.0,5,2,1.0,1,2,2.0,2.0,4,2.0,2.0,2.0,2.0,2.0,2.0
3158,3,1984,168,275,100.0,100.0,200.0,50.0,150.0,20.0,95.0,50.0,5.0,1,1,35,2.0,2.0,6,16,1.0,1,1,2.0,2.0,6,1.0,2.0,1.0,2.0,2.0,2.0
3159,1,1986,168,10,100.0,60.0,4.0,2.0,4.0,1.0,100.0,0.0,40.0,1,1,16,2.0,2.0,9,7,1.0,3,1,1.0,1.0,6,2.0,2.0,2.0,2.0,2.0,2.0
3161,1,2000,3,1,66.0,66.0,1.0,1.0,1.0,1.0,75.0,30.0,0.0,2,1,21,2.0,1.0,3,12,1.0,3,4,2.0,2.0,8,1.0,2.0,2.0,1.0,1.0,1.0
3162,2,1999,50,135,100.0,100.0,109.0,18.0,24.0,6.0,60.0,0.0,2.0,2,2,9,2.0,2.0,4,5,1.0,2,2,2.0,2.0,7,2.0,2.0,1.0,2.0,2.0,2.0
3163,1,1952,60,20,100.0,100.0,100.0,0.0,3.0,2.0,100.0,10.0,0.0,2,2,28,1.0,2.0,3,14,1.0,1,1,8.0,8.0,3,1.0,2.0,1.0,1.0,2.0,2.0
3169,2,1993,40,3,20.0,20.0,2.0,0.0,2.0,2.0,1.0,0.0,20.0,2,2,47,2.0,2.0,1,26,1.0,1,3,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
3171,1,1960,80,6,100.0,100.0,6.0,0.0,4.0,1.0,90.0,5.0,0.0,2,1,24,2.0,2.0,5,13,1.0,2,3,2.0,2.0,4,2.0,2.0,2.0,2.0,2.0,2.0
3173,13,1967,168,900,100.0,100.0,860.0,50.0,300.0,150.0,100.0,80.0,0.0,1,1,35,1.0,2.0,6,16,1.0,1,1,11.0,11.0,4,1.0,2.0,2.0,2.0,2.0,2.0
3174,1,1971,168,14,10.0,10.0,8.0,9.0,4.0,1.0,100.0,80.0,65.0,1,1,10,2.0,2.0,9,5,1.0,1,3,2.0,2.0,5,2.0,2.0,2.0,2.0,2.0,2.0
3175,1,1948,40,3,100.0,80.0,3.0,3.0,3.0,1.0,88.0,21.0,7.0,2,1,50,2.0,2.0,4,23,1.0,1,3,2.0,2.0,3,2.0,2.0,2.0,2.0,2.0,2.0
3179,1,1993,60,400,90.0,98.0,50.0,50.0,50.0,1.0,100.0,30.0,0.0,2,1,51,1.0,2.0,7,24,1.0,1,1,6.0,6.0,7,2.0,2.0,1.0,1.0,2.0,2.0
3180,9,1975,168,1200,100.0,100.0,4195.0,400.0,100.0,50.0,100.0,15.0,20.0,1,1,35,1.0,1.0,1,16,1.0,1,1,11.0,11.0,5,1.0,1.0,1.0,1.0,1.0,1.0
3181,12,1960,168,2000,90.0,90.0,800.0,100.0,100.0,50.0,90.0,85.0,0.0,1,1,35,2.0,2.0,9,16,1.0,1,3,2.0,2.0,4,1.0,2.0,1.0,1.0,2.0,2.0
3182,5,995,105,298,100.0,10.0,850.0,40.0,25.0,20.0,80.0,5.0,5.0,2,1,29,1.0,2.0,3,14,1.0,1,1,2.0,2.0,2,2.0,2.0,1.0,2.0,2.0,2.0
3183,1,1987,80,15,10.0,10.0,13.0,3.0,4.0,3.0,50.0,0.0,50.0,2,1,10,2.0,2.0,9,5,1.0,1,3,3.0,3.0,6,2.0,2.0,2.0,2.0,2.0,2.0
3186,2,2005,80,12,75.0,75.0,20.0,2.0,8.0,1.0,50.0,0.0,25.0,2,2,2,1.0,1.0,9,2,1.0,2,5,1.0,1.0,9,1.0,1.0,1.0,1.0,1.0,1.0
3187,1,995,40,8,100.0,100.0,5.0,0.0,3.0,2.0,100.0,0.0,0.0,2,2,4,2.0,2.0,7,2,1.0,2,1,2.0,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0
3188,4,1999,168,40,50.0,100.0,8.0,100.0,6.0,2.0,100.0,60.0,80.0,1,1,38,2.0,2.0,9,18,1.0,3,1,9.0,9.0,7,2.0,2.0,2.0,2.0,2.0,2.0
3189,1,1992,50,14,100.0,25.0,12.0,2.0,10.0,1.0,100.0,0.0,10.0,2,2,9,2.0,2.0,2,5,1.0,3,3,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
3190,1,2003,168,200,100.0,4.0,35.0,10.0,35.0,3.0,50.0,20.0,50.0,1,1,9,2.0,2.0,7,5,1.0,1,1,1.0,1.0,8,2.0,2.0,2.0,2.0,2.0,2.0
3191,2,2001,50,200,10.0,20.0,50.0,10.0,10.0,3.0,30.0,5.0,0.0,2,2,10,2.0,2.0,9,5,1.0,1,3,1.0,1.0,8,2.0,2.0,2.0,2.0,2.0,2.0
3192,1,1986,45,80,100.0,100.0,150.0,50.0,20.0,3.0,100.0,10.0,0.0,2,2,28,2.0,2.0,7,14,1.0,1,1,4.0,4.0,6,1.0,2.0,2.0,1.0,2.0,2.0
3193,2,1979,168,8,50.0,50.0,12.0,1.0,4.0,1.0,50.0,15.0,25.0,1,1,4,2.0,2.0,3,2,1.0,1,1,3.0,3.0,5,2.0,2.0,2.0,2.0,2.0,2.0
3195,4,1985,60,200,100.0,100.0,250.0,150.0,30.0,10.0,100.0,10.0,50.0,2,1,2,1.0,2.0,9,2,1.0,1,2,2.0,2.0,6,1.0,2.0,1.0,1.0,2.0,2.0
3199,13,1968,168,4000,100.0,100.0,3620.0,1420.0,50.0,100.0,50.0,20.0,0.0,1,1,4,1.0,1.0,5,2,1.0,2,2,5.0,5.0,4,1.0,1.0,1.0,1.0,1.0,1.0
3202,1,1987,70,80,95.0,100.0,46.0,20.0,24.0,5.0,86.0,9.0,13.0,2,1,50,1.0,2.0,6,23,1.0,1,3,9.0,9.0,6,1.0,2.0,1.0,2.0,2.0,2.0
3204,1,1983,126,20,100.0,100.0,7.0,2.0,2.0,1.0,100.0,35.0,0.0,2,1,14,2.0,2.0,5,6,1.0,1,3,2.0,2.0,6,2.0,2.0,1.0,2.0,2.0,2.0
3205,13,1966,168,12,100.0,5.0,40.0,150.0,2.0,1.0,90.0,75.0,10.0,1,1,37,2.0,2.0,2,18,1.0,1,1,9.0,9.0,4,1.0,2.0,1.0,1.0,2.0,2.0
3206,6,1965,45,20,100.0,100.0,40.0,5.0,15.0,5.0,90.0,0.0,0.0,2,2,2,2.0,2.0,9,2,1.0,1,1,2.0,2.0,4,1.0,2.0,1.0,1.0,2.0,2.0
3210,2,1952,56,10,100.0,100.0,12.0,0.0,4.0,3.0,100.0,10.0,0.0,2,1,44,1.0,2.0,7,26,1.0,2,1,1.0,1.0,3,1.0,2.0,2.0,2.0,2.0,2.0
3214,1,1978,59,6,100.0,100.0,2.0,3.0,3.0,1.0,79.0,16.0,6.0,2,1,50,1.0,1.0,1,23,1.0,1,3,2.0,2.0,5,1.0,2.0,1.0,1.0,1.0,2.0
3215,4,1985,168,1080,100.0,100.0,500.0,50.0,500.0,40.0,100.0,100.0,0.0,1,1,35,1.0,2.0,7,16,1.0,1,1,2.0,2.0,6,1.0,2.0,1.0,1.0,2.0,2.0
3217,3,1997,168,147,100.0,100.0,50.0,25.0,25.0,6.0,100.0,20.0,5.0,1,1,35,2.0,2.0,2,16,1.0,3,1,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
3218,1,2000,71,100,100.0,90.0,10.0,1.0,3.0,1.0,100.0,15.0,10.0,2,1,14,2.0,2.0,5,6,1.0,2,9,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
3220,8,995,50,30,100.0,10.0,20.0,12.0,2.0,2.0,15.0,5.0,10.0,2,2,10,2.0,2.0,3,5,1.0,1,1,9.0,9.0,1,2.0,2.0,2.0,2.0,2.0,2.0
3221,2,2001,60,6,100.0,100.0,25.0,0.0,6.0,1.0,100.0,0.0,0.0,2,2,29,2.0,2.0,3,14,1.0,3,1,3.0,3.0,8,2.0,2.0,2.0,2.0,2.0,2.0
3222,2,2004,50,75,100.0,95.0,356.0,35.0,40.0,5.0,95.0,10.0,0.0,2,1,28,2.0,2.0,3,14,1.0,2,1,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
3225,1,1993,80,83,75.0,75.0,33.0,10.0,17.0,6.0,66.0,22.0,19.0,2,1,50,2.0,2.0,5,23,1.0,1,3,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
3229,8,1998,40,495,75.0,75.0,495.0,66.0,25.0,5.0,100.0,20.0,20.0,2,2,2,1.0,2.0,9,2,1.0,1,1,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
3230,8,1959,168,2500,100.0,100.0,3305.0,1420.0,2000.0,20.0,98.0,70.0,2.0,1,1,35,1.0,2.0,9,16,1.0,2,7,10.0,10.0,3,1.0,2.0,1.0,2.0,2.0,2.0
3231,1,1991,72,42,100.0,100.0,26.0,6.0,14.0,2.0,95.0,7.0,15.0,2,1,50,1.0,2.0,5,23,1.0,1,1,2.0,2.0,7,1.0,2.0,2.0,2.0,2.0,2.0
3232,1,1983,70,113,100.0,100.0,43.0,12.0,21.0,3.0,85.0,11.0,17.0,2,1,50,2.0,2.0,5,23,1.0,1,3,9.0,9.0,6,2.0,2.0,2.0,2.0,2.0,2.0
3236,5,2006,65,470,100.0,100.0,1400.0,100.0,150.0,100.0,90.0,35.0,85.0,2,2,4,2.0,2.0,5,2,1.0,1,2,3.0,3.0,9,2.0,2.0,1.0,2.0,2.0,2.0
3238,2,1972,168,85,100.0,100.0,30.0,15.0,17.0,1.0,90.0,40.0,0.0,1,1,36,2.0,2.0,9,17,1.0,2,4,10.0,10.0,5,2.0,2.0,2.0,2.0,2.0,2.0
3242,9,995,55,2500,95.0,95.0,1200.0,500.0,50.0,30.0,100.0,0.0,1.0,2,2,4,2.0,1.0,5,2,1.0,1,1,4.0,4.0,2,1.0,1.0,1.0,1.0,1.0,2.0
3243,6,1972,168,100,100.0,100.0,950.0,100.0,300.0,150.0,100.0,50.0,30.0,1,1,35,1.0,2.0,4,16,1.0,1,2,2.0,2.0,5,1.0,2.0,1.0,1.0,2.0,2.0
3247,4,1992,50,150,80.0,90.0,120.0,40.0,40.0,40.0,90.0,20.0,20.0,2,1,19,2.0,2.0,9,8,1.0,1,1,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
3248,2,1959,70,22,100.0,15.0,40.0,10.0,3.0,2.0,85.0,0.0,50.0,2,1,28,2.0,2.0,3,14,1.0,1,1,5.0,5.0,3,2.0,2.0,2.0,2.0,2.0,2.0
3249,2,1981,40,10,100.0,100.0,3.0,1.0,2.0,1.0,30.0,0.0,10.0,2,2,7,2.0,2.0,4,2,1.0,2,5,2.0,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0
3252,2,1965,96,195,100.0,45.0,687.0,35.0,130.0,5.0,100.0,10.0,30.0,2,1,29,1.0,2.0,2,14,1.0,1,1,4.0,4.0,4,1.0,2.0,1.0,1.0,2.0,2.0
3254,1,1972,70,77,100.0,100.0,36.0,10.0,19.0,3.0,91.0,15.0,4.0,2,1,50,2.0,2.0,4,23,1.0,1,1,9.0,9.0,5,2.0,2.0,2.0,2.0,2.0,2.0
3255,1,1987,72,50,100.0,50.0,18.0,11.0,10.0,4.0,100.0,0.0,75.0,2,1,41,2.0,2.0,4,25,1.0,1,2,2.0,2.0,6,1.0,2.0,1.0,1.0,2.0,2.0
3257,2,1988,40,94,100.0,100.0,86.0,118.0,40.0,7.0,97.0,0.0,40.0,2,2,28,2.0,2.0,7,14,1.0,1,1,2.0,2.0,6,1.0,2.0,1.0,1.0,2.0,2.0
3260,995,1988,168,300,90.0,90.0,40.0,10.0,20.0,4.0,90.0,50.0,0.0,1,1,38,2.0,2.0,2,18,1.0,1,1,2.0,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0
3262,2,1967,45,42,100.0,100.0,22.0,30.0,10.0,2.0,100.0,0.0,15.0,2,2,22,2.0,2.0,6,13,1.0,3,5,11.0,11.0,4,1.0,2.0,1.0,1.0,2.0,2.0
3267,5,995,65,300,100.0,95.0,200.0,100.0,30.0,15.0,100.0,0.0,0.0,2,1,4,1.0,2.0,8,2,1.0,3,1,2.0,2.0,1,1.0,2.0,1.0,2.0,2.0,2.0
3269,8,1959,79,375,100.0,90.0,400.0,300.0,30.0,8.0,80.0,25.0,20.0,2,1,23,2.0,2.0,3,13,1.0,1,6,9.0,9.0,3,1.0,2.0,1.0,1.0,2.0,2.0
3270,4,995,55,7,100.0,100.0,2.0,0.0,2.0,1.0,90.0,0.0,0.0,2,1,48,2.0,2.0,5,26,1.0,3,1,2.0,2.0,1,2.0,2.0,2.0,2.0,2.0,2.0
3272,1,1979,30,4,100.0,100.0,2.0,1.0,2.0,1.0,100.0,2.0,40.0,2,1,48,2.0,2.0,2,26,1.0,3,5,2.0,2.0,5,2.0,2.0,2.0,2.0,2.0,2.0
3273,7,1976,60,275,30.0,95.0,200.0,50.0,15.0,15.0,100.0,0.0,15.0,2,2,6,1.0,2.0,5,2,1.0,1,2,2.0,2.0,5,1.0,1.0,2.0,2.0,2.0,2.0
3275,2,1972,36,1,95.0,95.0,1.0,0.0,1.0,1.0,8.0,0.0,90.0,2,2,25,1.0,2.0,9,13,1.0,1,1,3.0,3.0,5,1.0,1.0,1.0,2.0,2.0,2.0
3276,2,1959,168,13,100.0,60.0,14.0,4.0,14.0,1.0,80.0,10.0,0.0,1,1,4,1.0,1.0,4,2,1.0,2,3,9.0,9.0,3,2.0,1.0,1.0,1.0,1.0,2.0
3279,1,1995,40,8,100.0,100.0,8.0,3.0,3.0,1.0,100.0,2.0,0.0,2,1,46,2.0,2.0,9,26,1.0,3,5,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
3280,1,1997,40,4,0.0,50.0,4.0,1.0,3.0,1.0,75.0,10.0,45.0,2,2,18,2.0,2.0,7,8,1.0,3,1,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
3282,2,1997,45,60,100.0,70.0,200.0,30.0,5.0,4.0,90.0,10.0,25.0,2,2,28,1.0,2.0,1,14,1.0,2,4,4.0,4.0,7,1.0,1.0,1.0,1.0,2.0,2.0
3283,2,1967,70,211,100.0,100.0,100.0,31.0,52.0,6.0,80.0,23.0,12.0,2,1,50,1.0,2.0,7,23,1.0,2,3,9.0,9.0,4,1.0,2.0,1.0,1.0,2.0,2.0
3284,1,1976,20,19,100.0,100.0,2.0,0.0,2.0,1.0,100.0,0.0,0.0,2,1,21,2.0,2.0,8,12,1.0,3,1,8.0,8.0,5,1.0,2.0,2.0,2.0,2.0,2.0
3292,3,2000,60,225,100.0,100.0,25.0,7.0,12.0,3.0,90.0,3.0,30.0,2,1,24,2.0,2.0,6,13,1.0,1,1,2.0,2.0,8,1.0,2.0,1.0,2.0,2.0,2.0
3296,1,1965,55,12,100.0,90.0,6.0,2.0,3.0,1.0,96.0,3.0,17.0,2,1,50,2.0,2.0,9,23,1.0,1,3,9.0,9.0,4,2.0,2.0,2.0,2.0,2.0,2.0
3299,2,1983,60,20,80.0,60.0,20.0,0.0,8.0,3.0,95.0,15.0,20.0,2,1,42,2.0,2.0,8,25,1.0,2,5,1.0,1.0,6,2.0,2.0,2.0,2.0,2.0,2.0
3304,1,2000,98,10,100.0,100.0,8.0,0.0,3.0,1.0,100.0,10.0,0.0,2,1,42,2.0,2.0,7,25,1.0,1,1,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
