,TOTAL_EUI
1017,55.419651515151514
1019,60.84847428571429
1020,11.927105454545455
1021,14.323555555555556
1022,3.628484285714286
1023,30.888089552238807
1026,21.53924
1029,15.318666666666667
1031,19.427515384615386
1033,13.067619047619047
1034,23.6617125
1038,12.46797894736842
1040,135.695
1045,10.358298245614035
1047,20.996814814814815
1051,17.702701923076923
1052,33.7738
1056,5.58246511627907
1058,41.45945454545455
1060,10.728666666666667
1061,3.9414609375
1062,14.6066
1063,12.38755172413793
1064,6.90945054945055
1065,8.996741573033708
1068,24.277052631578947
1069,21.216666666666665
1071,2.9505
1074,13.943109375
1075,15.30117808219178
1077,13.200178571428571
1079,27.1787
1082,9.247411764705882
1083,10.51716862745098
1084,44.39299333333334
1087,14.268021978021977
1088,11.15237037037037
1091,18.300255555555555
1092,35.90213225806452
1094,30.183013333333335
1095,7.702732954545454
1096,25.377236842105262
1099,15.756049315068493
1100,19.262238095238096
1102,13.45
1106,15.021727272727272
1107,30.639489130434782
1110,21.8397675
1111,10.42672463768116
1114,24.7776
1117,0.8637972972972973
1118,2.6720526315789472
1121,7.733047619047619
1124,19.716399
1127,2.1217272727272727
1130,8.082148148148148
1132,28.882
1134,13.243173076923076
1138,8.805263157894737
1141,6.8067409836065575
1142,1.55425
1145,6.572823863636364
1147,33.604093023255814
1148,32.785183333333336
1152,24.401407142857142
1156,17.31048101265823
1157,3.0404164285714286
1159,13.992682539682539
1160,14.771875
1161,30.477243902439024
1163,65.55833333333334
1164,19.099901960784315
1169,73.1451111111111
1173,19.27642857142857
1175,29.578181818181818
1177,7.9751076923076925
1181,8.77040579710145
1183,5.337472222222222
1186,7.487076923076923
1188,8.4390625
1190,15.141396226415095
1191,9.796932203389831
1192,15.394534246575342
1196,36.63117333333334
1198,7.281090909090909
1199,10.20236842105263
1201,20.183822222222222
1202,18.97353846153846
1206,4.397093333333333
1207,10.96515
1208,10.38
1210,55.82357142857143
1211,14.366823529411764
1212,11.960765060240965
1214,22.570698630136988
1215,22.147755555555555
1217,20.628625
1219,22.159486486486486
1221,17.46072857142857
1224,8.168306451612903
1227,7.969257142857143
1230,12.297638297872341
1233,18.50768115942029
1235,1.5172
1236,8.246870786516855
1237,31.495178181818183
1238,6.949208
1240,8.758697674418604
1244,12.754849411764706
1248,14.594
1249,20.66482142857143
1251,10.99051724137931
1252,33.208496296296296
1254,22.59275
1255,13.841362068965518
1256,20.35677627118644
1259,5.214444444444444
1261,34.91696521739131
1262,7.048918918918919
1267,17.487859649122807
1271,14.689714285714286
1272,9.597763440860215
1274,23.69634375
1277,9.322493827160494
1279,15.24354857142857
1283,33.2984170212766
1284,4.89465
1285,17.457914285714285
1286,17.787510416666667
1288,12.580682926829269
1289,13.3588
1290,15.153746835443037
1292,29.49792131147541
1295,14.35527397260274
1296,8.798
1297,37.10535
1298,9.732510869565218
1300,0.9628809523809524
1301,23.1285
1302,24.055964285714285
1304,7.848470588235294
1307,19.31461855670103
1310,38.994971428571425
1311,4.449741176470588
1315,47.028751020408166
1316,27.536666666666665
1317,4.970849315068493
1319,8.421044444444444
1320,12.17936
1324,14.564285714285715
1326,6.750090909090909
1328,6.113691304347826
1330,5.00792
1331,3.5363170731707316
1333,30.398292452830187
1334,8.086813186813187
1339,8.795254237288136
1340,4.326060606060606
1341,20.480205
1342,10.922295081967214
1345,10.090625
1347,11.942533333333333
1348,14.4914
1353,6.397590361445783
1354,15.767204545454545
1355,31.041240506329114
1358,11.857333333333333
1359,1.076595
1360,12.688005
1362,15.618760563380281
1365,6.180763157894737
1366,23.19021
1367,6.66215625
1368,18.34569696969697
1376,13.130779220779221
1379,27.663286666666668
1383,13.08725
1385,5.64168253968254
1387,33.244420833333336
